s 1065, a 0.96 
s 1066, a 0.98 
s 1067, a 0.96 
s 1068, a 0.98 
s 1069, a 0.98 
s 1070, a 0.98 
s 1071, a 0.94 
s 1072, a 0.98 
s 1073, a 0.98 
s 1074, a 0.96 
s 1075, a 0.98 
s 1076, a 0.94 
s 1077, a 0.96 
s 1078, a 0.92 
s 1079, a 0.96 
s 1080, a 1 
s 1081, a 1 
s 1082, a 0.92 
s 1083, a 0.98 
s 1084, a 0.96 
s 1085, a 0.96 
s 1086, a 0.96 
s 1087, a 0.96 
s 1088, a 0.96 
s 1089, a 0.94 
s 1090, a 0.94 
s 1091, a 0.98 
s 1092, a 0.96 
s 1093, a 0.96 
s 1094, a 0.98 
s 1095, a 0.96 
s 1096, a 1 
s 1097, a 0.9 
s 1098, a 1 
s 1099, a 0.98 
s 1100, a 0.94 
s 1101, a 0.96 
s 1102, a 0.98 
s 1103, a 0.98 
s 1104, a 1 
s 1105, a 0.98 
s 1106, a 1 
s 1107, a 0.96 
s 1108, a 1 
s 1109, a 0.96 
s 1110, a 0.92 
s 1111, a 0.96 
s 1112, a 0.96 
s 1113, a 0.92 
s 1114, a 0.96 
s 1115, a 0.98 
s 1116, a 0.98 
s 1117, a 0.96 
s 1118, a 0.96 
s 1119, a 0.98 
s 1120, a 0.94 
s 1121, a 0.96 
s 1122, a 0.96 
s 1123, a 0.98 
s 1124, a 1 
s 1125, a 0.96 
s 1126, a 0.98 
s 1127, a 1 
s 1128, a 0.96 
s 1129, a 1 
s 1130, a 0.96 
s 1131, a 0.96 
s 1132, a 1 
s 1133, a 0.96 
s 1134, a 0.92 
s 1135, a 0.96 
s 1136, a 1 
s 1137, a 0.96 
s 1138, a 0.94 
s 1139, a 0.98 
s 1140, a 0.96 
s 1141, a 0.96 
s 1142, a 0.96 
s 1143, a 0.98 
s 1144, a 0.96 
s 1145, a 1 
s 1146, a 0.96 
s 1147, a 0.98 
s 1148, a 0.98 
s 1149, a 0.98 
s 1150, a 0.92 
s 1151, a 0.98 
s 1152, a 0.98 
s 1153, a 0.96 
s 1154, a 0.94 
s 1155, a 0.98 
s 1156, a 0.96 
s 1157, a 0.96 
s 1158, a 0.98 
s 1159, a 1 
s 1160, a 0.96 
s 1161, a 0.94 
s 1162, a 0.98 
s 1163, a 0.88 
s 1164, a 0.92 
s 1165, a 1 
s 1166, a 0.96 
s 1167, a 1 
s 1168, a 0.94 
s 1169, a 1 
s 1170, a 1 
s 1171, a 0.98 
s 1172, a 0.96 
s 1173, a 0.96 
s 1174, a 1 
s 1175, a 0.94 
s 1176, a 0.94 
s 1177, a 0.98 
s 1178, a 0.92 
s 1179, a 1 
s 1180, a 1 
s 1181, a 0.98 
s 1182, a 0.94 
s 1183, a 1 
s 1184, a 1 
s 1185, a 1 
s 1186, a 1 
s 1187, a 0.96 
s 1188, a 0.9 
s 1189, a 0.94 
s 1190, a 0.96 
s 1191, a 0.96 
s 1192, a 0.96 
s 1193, a 0.96 
s 1194, a 0.98 
s 1195, a 0.98 
s 1196, a 1 
s 1197, a 0.94 
s 1198, a 0.98 
s 1199, a 0.98 
s 1200, a 0.96 
s 1201, a 0.96 
s 1202, a 0.98 
s 1203, a 0.96 
s 1204, a 0.98 
s 1205, a 0.98 
s 1206, a 0.96 
s 1207, a 0.96 
s 1208, a 0.96 
s 1209, a 1 
s 1210, a 0.98 
s 1211, a 0.96 
s 1212, a 0.96 
s 1213, a 0.98 
s 1214, a 0.96 
s 1215, a 0.96 
s 1216, a 0.98 
s 1217, a 0.96 
s 1218, a 1 
s 1219, a 0.98 
s 1220, a 0.94 
s 1221, a 0.96 
s 1222, a 0.96 
s 1223, a 1 
s 1224, a 0.92 
s 1225, a 0.94 
s 1226, a 0.98 
s 1227, a 0.96 
s 1228, a 0.98 
s 1229, a 0.94 
s 1230, a 0.96 
s 1231, a 0.98 
s 1232, a 0.98 
s 1233, a 0.94 
s 1234, a 0.98 
s 1235, a 0.96 
s 1236, a 1 
s 1237, a 0.98 
s 1238, a 0.98 
s 1239, a 0.98 
s 1240, a 0.96 
s 1241, a 0.96 
s 1242, a 0.96 
s 1243, a 0.98 
s 1244, a 0.94 
s 1245, a 0.96 
s 1246, a 0.96 
s 1247, a 0.98 
s 1248, a 1 
s 1249, a 0.94 
s 1250, a 1 
s 1251, a 0.96 
s 1252, a 0.96 
s 1253, a 0.98 
s 1254, a 0.96 
s 1255, a 0.96 
s 1256, a 0.96 
s 1257, a 0.96 
s 1258, a 0.96 
s 1259, a 0.9 
s 1260, a 0.98 
s 1261, a 1 
s 1262, a 0.96 
s 1263, a 1 
s 1264, a 0.94 
s 1265, a 1 
